"Fact_ID","Category","Subcategory","Topic","Question","Answer","Keywords","Source_Type"
"F00100","Petrochemicals","Manufacturing Units","Gujarat Refinery LAB Unit","What petrochemical unit did Gujarat Refinery commission in 2004?","In 2004, Gujarat Refinery commissioned Asia's largest single-train Linear Alkyl Benzene (LAB) unit with a capacity of 120 KTPA, marking IndianOil's significant entry into petrochemicals.","Linear Alkyl Benzene, LAB unit, Gujarat Refinery, petrochemicals","Website"
"F00101","Petrochemicals","Manufacturing Units","Paradip Petrochemical Complex","What major petrochemical project is planned at Paradip?","IndianOil is developing a major Petrochemical Complex at Paradip with a planned investment of around Rs. 61,077 crore, intended to significantly expand the company's petrochemical footprint.","Paradip Petrochemical Complex, investment, mega project","Website"
"F00102","Petrochemicals","Production","Total Petrochemical Capacity","What is IndianOil's petrochemical production capacity?","IndianOil is one of India's leading petrochemical producers, with a reported petrochemical production capacity of nearly 3,200 KTA (kilo-tonnes per annum) across its various units.","petrochemical capacity, KTA, production","Website"
"F00103","Petrochemicals","Applications","Polymer Products","What polymer products does IndianOil manufacture?","IndianOil's petrochemical complexes manufacture polymers such as Polypropylene (PP), High-Density Polyethylene (HDPE), and Linear Low-Density Polyethylene (LLDPE), used widely in packaging, textiles, and industrial applications.","Polypropylene, HDPE, LLDPE, polymers, applications","Website"
"F00104","Petrochemicals","Manufacturing Units","Dumad Oxo Alcohol Project","What is the Oxo Alcohol Project at Dumad?","The Oxo Alcohol Project at Dumad, dedicated to the nation in September 2025, comprises a SynGas Unit, N-Butyl Alcohol Unit, Acrylic Acid Unit, and Butyl Acrylate Unit with a production capacity of 150 KTPA of Butyl Acrylate, reducing India's import dependency on this chemical.","Oxo Alcohol Project, Dumad, Butyl Acrylate, Gujarat Refinery","Website"
"F00105","Natural Gas Business","Overview","Natural Gas Vertical","What does IndianOil's Natural Gas business cover?","IndianOil's Natural Gas business covers procurement, transportation, and marketing of natural gas, including City Gas Distribution (CGD) networks that supply piped natural gas (PNG) to homes and CNG to vehicles.","Natural Gas business, City Gas Distribution, PNG, CNG","Website"
"F00106","Natural Gas Business","LNG","Ennore LNG Terminal","What is the Ennore LNG Terminal expansion plan?","IndianOil plans to expand the capacity of the Ennore LNG Terminal from 5 MMTPA to 10 MMTPA to meet growing demand for liquefied natural gas as part of India's shift toward a gas-based economy.","Ennore LNG Terminal, capacity expansion, LNG","Website"
"F00107","Natural Gas Business","Compressed Biogas","SATAT Initiative","What is the SATAT initiative and IndianOil's role in it?","SATAT (Sustainable Alternative Towards Affordable Transportation) is a Government of India initiative to promote Compressed Biogas (CBG), and IndianOil is expanding CBG plants under this initiative, including a partnership with Torrent Gas to retail CBG-blended CNG.","SATAT, Compressed Biogas, CBG, Torrent Gas, partnership","Public Information"
"F00108","Green Energy Initiatives","Hydrogen","Green Hydrogen Project at Panipat","What green hydrogen project is IndianOil setting up at Panipat?","IndianOil is setting up a 10 KTPA Green Hydrogen project at Panipat to begin replacing grey hydrogen used in refining processes with green hydrogen produced from renewable energy.","Green Hydrogen, Panipat, 10 KTPA, grey hydrogen replacement","Website"
"F00109","Green Energy Initiatives","Hydrogen","National Green Hydrogen Mission Target","What is IndianOil's target under the National Green Hydrogen Mission?","Under Tranche 1 of India's National Green Hydrogen Mission, IndianOil has been assigned a target of 80 ktpa of green hydrogen capacity out of an overall refiner target of 200 ktpa.","National Green Hydrogen Mission, NGHM, 80 ktpa target","Website"
"F00110","Green Energy Initiatives","Biofuels","Ethanol Blending Program","What is IndianOil's role in ethanol blending?","IndianOil markets Ethanol Blended Motor Spirit (EBMS) and has been a key participant in India's ethanol blending program, which had reached around 18% ethanol blending in petrol with a target of 20% blending.","ethanol blending, EBMS, E20, biofuels program","Website"
"F00111","Green Energy Initiatives","Biofuels","Sustainable Aviation Fuel","Is IndianOil involved in Sustainable Aviation Fuel production?","IndianOil is planning co-processing of non-edible oils in refineries to produce Sustainable Aviation Fuel (SAF) and is evaluating establishment of a dedicated SAF plant based on the Alcohol-to-Jet route.","Sustainable Aviation Fuel, SAF, Alcohol to Jet, non-edible oils","Website"
"F00112","Green Energy Initiatives","Solar and Wind","Renewable Energy Target","What is IndianOil's renewable energy capacity target?","IndianOil has set a target to reach a 31 GW renewable energy portfolio by 2030, to be achieved through both organic development and inorganic (acquisition-based) growth, led by its subsidiary Terra Clean Limited.","31 GW, renewable energy target, 2030, Terra Clean Limited","Website"
"F00113","Green Energy Initiatives","Electric Mobility","Battery Swapping and EV Infrastructure","What electric mobility initiatives is IndianOil pursuing?","IndianOil is expanding EV charging infrastructure, exploring battery swapping services, and evaluating battery cell manufacturing to maintain its position in the evolving mobility and energy transition landscape.","battery swapping, EV infrastructure, cell manufacturing, electric mobility","Website"
"F00114","Green Energy Initiatives","Net Zero","Net Zero Commitment","What is IndianOil's net-zero commitment?","IndianOil has committed to achieving net-zero Scope 1 and Scope 2 greenhouse gas emissions by 2046, supported by scaling up renewable energy, green hydrogen, biofuels, and energy efficiency measures.","net zero, 2046, Scope 1, Scope 2, emissions target","Website"
"F00115","Sustainability","ESG","ESG Reporting","Does IndianOil report on ESG performance?","IndianOil publishes sustainability and ESG-related disclosures, often integrated within its Annual Reports and dedicated Sustainability Reports, covering environmental, social, and governance performance.","ESG, sustainability report, disclosures, governance","Sustainability Report"
"F00116","Sustainability","Environment","Clean Development Mechanism Projects","Has IndianOil undertaken Clean Development Mechanism projects?","Yes, IndianOil has initiated several Clean Development Mechanism (CDM) projects at its refineries as part of efforts to reduce greenhouse gas emissions and comply with environmental statutes.","Clean Development Mechanism, CDM, emissions reduction, refineries","Website"
"F00117","Sustainability","Water","Minimizing Water Footprint","What is IndianOil doing to reduce its water footprint?","IndianOil has initiatives focused on minimizing its water footprint across operations, including water recycling and conservation measures at its refineries and installations.","water footprint, water conservation, recycling, sustainability","Website"
"F00118","Research and Development","R&D Centers","IndianOil R&D Centre Location","Where is the IndianOil R&D Centre located?","The IndianOil R&D Centre is located in Faridabad, Haryana, and serves as the company's primary hub for research in refining processes, lubricants, alternative fuels, and materials.","R&D Centre, Faridabad, Haryana, research hub","Website"
"F00119","Research and Development","Technologies","INDMAX Development","What technology did IndianOil's R&D Centre develop for refineries?","IndianOil's R&D Centre developed INDMAX, an indigenous fluid catalytic cracking process technology that has been deployed at several IndianOil refineries to maximize LPG and gasoline yields from heavy feedstocks.","INDMAX, R&D Centre, indigenous technology, FCC","Website"
"F00120","Research and Development","Lubricants R&D","SERVO Lubricant Formulations","Does IndianOil's R&D Centre develop lubricant formulations?","Yes, the IndianOil R&D Centre develops and tests lubricant formulations for the SERVO brand, covering automotive, industrial, and specialty lubricant categories.","lubricant R&D, SERVO formulations, R&D Centre","Website"
"F00121","Digital Transformation","AI","AI in HR Analytics","How is IndianOil using AI in human resources?","IndianOil's HR function has been leveraging AI and HR analytics to support workforce planning, employee upskilling, and transformation of people-management practices under Director (HR) Rashmi Govil.","AI in HR, HR analytics, workforce planning, digital HR","Website"
"F00122","Digital Transformation","Industry 4.0","AI-Enabled CCTV in Refineries","How does IndianOil use AI for refinery safety monitoring?","IndianOil refineries have deployed AI-enabled CCTV cameras and smart helmets to enhance monitoring of critical jobs and improve workplace safety in operational areas.","AI-enabled CCTV, smart helmet, refinery safety, Industry 4.0","Website"
"F00123","Digital Transformation","Customer Digital Platforms","Digital Customer Platforms","What digital platforms does IndianOil offer customers?","IndianOil offers digital customer platforms and mobile applications for services such as LPG booking, fuel station locators, and loyalty program management, aimed at protecting and growing its retail customer base.","digital customer platforms, mobile apps, LPG booking, loyalty programs","Website"
"F00124","Safety","HSE Practices","Inherently Fire Retardant Suits","What protective equipment is mandatory in IndianOil refinery battery areas?","IndianOil mandates the use of Inherently Fire Retardant (IFR) suits for personnel working in battery areas of its refineries to reduce fire-related injury risk.","Inherently Fire Retardant suits, IFR, refinery safety, PPE","Website"
"F00125","Safety","Mobile Training","SURAKSHA RATH","What is SURAKSHA RATH?","SURAKSHA RATH is IndianOil's mobile safety training van deployed to conduct on-site safety training and awareness programs for employees and contractors.","SURAKSHA RATH, mobile safety training, van, safety awareness","Website"
"F00126","Safety","Monitoring","Portable CCTV for Critical Jobs","How does IndianOil monitor high-risk refinery jobs?","IndianOil uses portable CCTV cameras to monitor critical and high-risk jobs in real time at its refineries, supplementing fixed AI-enabled camera systems.","portable CCTV, critical job monitoring, refinery safety","Website"
"F00127","Safety","Standards","Statutory Environmental Compliance","Do IndianOil refineries comply with statutory environmental and safety requirements?","Yes, all IndianOil refineries are required to fully comply with statutory environmental and safety requirements set by Indian regulatory authorities.","statutory compliance, environmental regulations, refinery safety","Website"
"F00128","Human Resources","Workforce","Employee Strength","How many employees does IndianOil have?","As of 31 March 2024, IndianOil's regular employee strength stood at 30,321, comprising 18,570 executives and 11,751 non-executives.","employee strength, 30321, executives, non-executives, workforce","Annual Report"
"F00129","Human Resources","Attrition","Attrition Rate","What is IndianOil's employee attrition rate?","IndianOil's employee attrition rate has historically been low, around 1.5%, reflecting strong job stability typical of large public sector undertakings.","attrition rate, employee retention, 1.5%, PSU","Public Information"
"F00130","Human Resources","Employee Benefits","Employee Benefits Spending","How much does IndianOil spend on employee benefits?","IndianOil spent approximately ₹96.57 billion on employee benefits during FY2016-17, reflecting the scale of its workforce-related compensation and welfare programs.","employee benefits, compensation, FY2016-17, expenditure","Annual Report"
"F00131","Human Resources","Leadership Approach","People-Centric Culture","How does IndianOil describe its approach to people management?","IndianOil's leadership has emphasized a people-centric culture, with senior executives championing innovation, digital transformation, and employee-first HR practices as drivers of organizational growth.","people-centric culture, leadership approach, HR philosophy","Website"
"F00132","Apprenticeship Programs","Overview","Apprenticeship Training","Does IndianOil offer apprenticeship programs?","IndianOil offers structured apprenticeship training programs at its refineries, pipeline installations, and marketing locations, providing hands-on technical and trade training to apprentices under applicable Indian apprenticeship regulations.","apprenticeship, training program, technical trades, refinery training","Website"
"F00133","Internship Programs","Overview","Internship Opportunities","Does IndianOil offer internships for students?","IndianOil offers internship opportunities for engineering, management, and other students at its refineries, R&D Centre, and corporate offices, providing exposure to real-world oil and gas industry operations.","internship, students, engineering interns, IndianOil","Website"
"F00134","CSR Activities","Education","Education Initiatives","What kind of education-related CSR activities does IndianOil undertake?","IndianOil undertakes CSR initiatives supporting education, including scholarships, school infrastructure support, and skill-development programs in communities near its operational areas.","CSR, education, scholarships, skill development","CSR Report"
"F00135","CSR Activities","Healthcare","Healthcare Initiatives","What healthcare-related CSR work does IndianOil do?","IndianOil's CSR activities in healthcare include support for medical camps, healthcare infrastructure, and health awareness programs in communities surrounding its refineries and installations.","CSR, healthcare, medical camps, community health","CSR Report"
"F00136","CSR Activities","Rural Development","Rural Development Programs","Does IndianOil invest in rural development?","IndianOil's CSR programs include rural development initiatives such as infrastructure support, livelihood generation, and community welfare projects in villages near its operational sites.","CSR, rural development, livelihood, community welfare","CSR Report"
"F00137","CSR Activities","Environment","Environmental CSR Initiatives","What environmental CSR initiatives does IndianOil run?","IndianOil's environmental CSR initiatives include tree plantation drives, water conservation projects, and support for renewable energy adoption in surrounding communities.","CSR, environment, tree plantation, water conservation","CSR Report"
"F00138","Awards and Recognition","Global Ranking","Fortune Global 500 Recognition","Has IndianOil been recognized in global corporate rankings?","IndianOil has consistently featured in the Fortune Global 500 list of the world's largest companies by revenue, reflecting its scale within the global energy sector.","Fortune Global 500, recognition, global ranking","Public Information"
"F00139","Awards and Recognition","Profitability Recognition","Most Profitable PSU","Has IndianOil been recognized as India's most profitable PSU?","In May 2018, IndianOil became India's most profitable government corporation for the second consecutive year, posting a record profit of approximately ₹21,346 crore for FY2017-18.","most profitable PSU, record profit, FY2017-18, recognition","Public Information"
"F00140","Financial Information","Revenue","Recent Annual Revenue","What is IndianOil's approximate annual revenue?","Indian Oil Corporation Limited reported revenue of approximately ₹7,84,415 crore on a consolidated basis in its most recent full-year results, making it one of India's largest companies by revenue.","revenue, annual revenue, financial performance, crore","Stock Exchange Filing"
"F00141","Financial Information","Profit","Recent Net Profit","What is IndianOil's approximate net profit?","Indian Oil Corporation Limited reported a net profit of approximately ₹43,677 crore in its most recent full-year financial results.","net profit, financial performance, crore, IndianOil","Stock Exchange Filing"
"F00142","Financial Information","Market Capitalization","Approximate Market Capitalization","What is IndianOil's approximate market capitalization?","Indian Oil Corporation Limited's market capitalization is approximately ₹2,03,854 crore based on recent stock market data.","market capitalization, IOC stock, market cap","Stock Exchange Filing"
"F00143","Financial Information","Shareholding","Promoter Shareholding Percentage","What percentage of IOCL is held by the Government of India as promoter?","The Government of India, as promoter, holds approximately 51.5% of Indian Oil Corporation Limited's equity shares according to recent shareholding disclosures.","promoter shareholding, Government of India, 51.5%, equity","Stock Exchange Filing"
"F00144","Financial Information","Historical Profit","FY2017-18 Record Profit","What record profit did IndianOil post in FY2017-18?","IndianOil posted a record profit of approximately ₹21,346 crore in FY2017-18, making it India's most profitable government corporation for the second consecutive year at that time.","FY2017-18, record profit, historical financial performance","Public Information"
"F00145","Financial Information","Investments","Quoted Investments Value (Historical)","What was the value of IndianOil's quoted investments around FY2000-01?","As of 31 March 2001, the aggregate market value of IndianOil's quoted investments in ONGC, GAIL, CPCL, and BRPL was reported at approximately ₹2,354 crore, against a cost price of ₹3,128 crore.","quoted investments, ONGC, GAIL, CPCL, BRPL, historical financials","Annual Report"
"F00146","Annual Reports","Publication","Latest Integrated Annual Report","Does IndianOil publish an Integrated Annual Report?","Yes, IndianOil publishes an Integrated Annual Report each year; the most recent available edition referenced on its website is the Integrated Annual Report 2024-25.","Integrated Annual Report, 2024-25, annual reporting","Annual Report"
"F00147","Annual Reports","Availability","Annual Report Archive","Can previous IndianOil Annual Reports be accessed?","IndianOil maintains an archive of past Annual Reports on its corporate website, including reports dating back to early years such as 2000-01, available for public reference.","annual report archive, historical reports, public disclosure","Annual Report"
"F00148","Government Ownership","Administrative Control","Ministry of Petroleum and Natural Gas","Which ministry administers IndianOil?","Indian Oil Corporation Limited operates under the administrative control of the Ministry of Petroleum & Natural Gas, Government of India.","Ministry of Petroleum and Natural Gas, administrative control, government ministry","Government Publication"
"F00149","Public Sector Undertaking Status","Classification","Maharatna PSU Classification","What category of Public Sector Undertaking is IndianOil?","IndianOil is classified as a Maharatna Central Public Sector Enterprise (CPSE), the top tier of India's PSU classification system reserved for the highest-performing state-owned companies.","Maharatna, CPSE, PSU classification, public sector status","Government Publication"
"F00150","Stock Market Information","Ticker","NSE/BSE Ticker Symbol","What is IndianOil's stock ticker symbol?","Indian Oil Corporation Limited trades under the ticker symbol IOC on both the National Stock Exchange (NSE) and the Bombay Stock Exchange (BSE).","IOC ticker, NSE, BSE, stock symbol","Stock Exchange Filing"
"F00151","Stock Market Information","Index History","Removal from Nifty 50","Is IndianOil still part of the Nifty 50 index?","No, in March 2022 Apollo Hospitals replaced Indian Oil Corporation Limited in the Nifty 50 benchmark index.","Nifty 50, index removal, Apollo Hospitals, March 2022","Public Information"
"F00152","Stock Market Information","Governance Score","ISS Governance QualityScore","What is IndianOil's governance score from ISS?","Institutional Shareholder Services (ISS) rates Indian Oil Corporation's Governance QualityScore at 10 as of mid-2026, with sub-scores including Audit at 9, Board at 10, Shareholder Rights at 4, and Compensation at 2; on this scale a higher decile indicates relatively higher governance risk.","ISS Governance QualityScore, governance rating, audit score","Public Information"
"F00153","Major Projects","Refinery Expansion","Panipat Refinery Expansion to 25 MMTPA","What major refinery expansion is IndianOil executing at Panipat?","IndianOil is executing an expansion of Panipat Refinery's capacity to 25 MMTPA, alongside upcoming petrochemical units including PP-3, PBR, MAH, Styrene, NCU Phase-2, HDPE-2, Sustainable Aviation Fuel facilities, and Green Hydrogen production.","Panipat expansion, 25 MMTPA, petrochemical units, upcoming projects","Website"
"F00154","Major Projects","Pipeline Expansion","New Pipeline Network Expansion","What pipeline expansion projects is IndianOil executing?","IndianOil is executing projects to expand its pipeline network by over 2,000 km, including the New Mundra-Panipat Crude Oil Pipeline and augmentation of the Salaya-Mathura crude oil pipeline system.","pipeline expansion, New Mundra-Panipat Pipeline, Salaya-Mathura augmentation","Website"
"F00155","Future Expansion Plans","Refining Capacity","Approved Refining Capacity Enhancement","What refining capacity enhancement has IndianOil been approved for?","IndianOil has received approval to enhance its refining capacity from 70.25 MMTPA to 87.9 MMTPA across its refinery network.","refining capacity enhancement, 87.9 MMTPA, approved expansion","Website"
"F00156","Future Expansion Plans","Storage and Distribution","Greenfield and Brownfield Terminals","What is IndianOil doing to expand its storage infrastructure?","IndianOil is expanding its marketing network through modernization and development of retail outlets, along with establishing new greenfield and brownfield storage terminals and depots across the country.","greenfield terminals, brownfield terminals, storage expansion, depots","Website"
"F00157","Technology Collaborations","Refining Technology","International Technology Licensors","Has IndianOil collaborated with international technology licensors?","Yes, IndianOil refineries have historically used licensed technologies from international firms such as UOP and IFP (France) for units like catalytic reforming, alongside indigenous technologies developed in-house such as INDMAX.","technology licensors, UOP, IFP France, catalytic reforming","Website"
"F00158","Technology Collaborations","Strategic Partnerships","Torrent Gas Partnership for CBG","What partnership did IndianOil form with Torrent Gas?","IndianOil partnered with Torrent Gas to promote distribution of Compressed Biogas (CBG)-blended CNG across India, under the government's SATAT initiative, leveraging IndianOil's supply chain and retail infrastructure.","Torrent Gas, CBG-blended CNG, partnership, SATAT","Public Information"
"F00159","International Operations","Overseas Presence","Overseas Subsidiaries","In which countries does IndianOil have overseas subsidiaries?","IndianOil has overseas subsidiaries and offices in Sri Lanka (Lanka IOC PLC), Mauritius (IndianOil Mauritius Ltd.), the Middle East (IOC Middle East FZE), Singapore (IOCL Singapore Pte. Ltd.), and Canada (IndOil Montney Ltd.).","overseas subsidiaries, Sri Lanka, Mauritius, Middle East, Singapore, Canada","Public Information"
"F00160","International Operations","Overseas E&P","Overseas Exploration Blocks","In which countries does IndianOil hold overseas exploration blocks?","IndianOil's overseas exploration and production portfolio includes blocks in countries such as Libya, Iran, Gabon, Nigeria, Timor-Leste, Yemen, and Venezuela.","overseas E&P, Libya, Iran, Gabon, Nigeria, Timor-Leste, Yemen, Venezuela","Public Information"
"F00161","Import and Export Operations","Crude Sourcing","Crude Oil Import Partners","Who are some of IndianOil's major crude oil supply partners?","IndianOil's largest crude oil business partners have included Saudi Aramco, QatarEnergy, and Delek, with additional supply deals signed with companies such as Rosneft, ADNOC, and National Iranian Oil Company.","crude oil import, Saudi Aramco, QatarEnergy, Rosneft, ADNOC","Public Information"
"F00162","Import and Export Operations","Crude Deal","Rosneft Crude Supply Agreement","What crude supply deal did IndianOil sign with Rosneft?","In February 2020, IndianOil signed a deal with Russian oil company Rosneft to purchase 140,000 barrels per day of crude oil for the year 2020.","Rosneft, crude supply deal, 140000 barrels per day, 2020","Public Information"
"F00163","Supply Chain","Overview","Integrated Supply Chain","How does IndianOil manage its supply chain?","IndianOil manages an integrated supply chain spanning crude oil procurement, refining, cross-country pipeline transport, terminal and depot storage, and last-mile delivery to retail and institutional customers.","supply chain, integrated logistics, crude to customer, IndianOil","Website"
"F00164","Logistics","Transport Modes","Multi-Modal Logistics","What transport modes does IndianOil use for product distribution?","IndianOil uses a mix of pipelines, railway tank wagons, road tankers, and coastal/inland shipping to distribute petroleum products from refineries and terminals to retail outlets and bulk customers.","multi-modal logistics, pipelines, railway, road tankers, shipping","Website"
"F00165","Storage Facilities","Crude Tank Farms","Vadinar Crude Oil Tank Farm","What crude oil storage facility does IndianOil operate at Vadinar?","IndianOil operates a crude oil tank farm at Vadinar, Gujarat, with 18 tanks and a total storage capacity of about 1.5 million metric tonnes, supporting the Salaya-Mathura-Panipat crude pipeline system.","Vadinar tank farm, crude oil storage, Gujarat, pipeline support","Website"
"F00166","Storage Facilities","Crude Tank Farms","Paradip Crude Oil Tank Farm","What crude oil storage facility does IndianOil operate at Paradip?","IndianOil Pipelines operates a crude oil tank farm at Paradip with 20 tanks and a total capacity of about 1.1 million metric tonnes, supporting the Paradip-Haldia-Barauni crude pipeline system.","Paradip tank farm, crude oil storage, Odisha, pipeline support","Website"
"F00167","Terminals","Product Terminals","Petroleum Product Terminals","What role do petroleum product terminals play in IndianOil's network?","IndianOil's petroleum product terminals receive fuel via pipeline, rail, or ship, and act as regional hubs for onward distribution to depots and retail outlets across surrounding districts.","product terminals, regional hubs, distribution network","Website"
"F00168","Depots","Function","Petroleum Depots","What is the function of an IndianOil petroleum depot?","IndianOil petroleum depots store refined products closer to demand centres and dispatch them via road tankers to nearby retail outlets and bulk consumers, supplementing the larger terminal network.","petroleum depots, road tankers, retail outlet supply","Website"
"F00169","LPG Bottling Plants","Function","LPG Bottling Plant Operations","What happens at an IndianOil LPG bottling plant?","At LPG bottling plants, bulk LPG received from refineries or import terminals is filled into cylinders for distribution to Indane distributors and ultimately to domestic and commercial customers.","LPG bottling plant, Indane, cylinder filling, distribution","Website"
"F00170","Fuel Stations","Network Scale","Retail Outlet Network Size","How large is IndianOil's retail fuel station network?","IndianOil's retail fuel station network includes more than 37,500 outlets across India, serving an estimated 30 million customers daily.","fuel stations, retail network, daily customers, scale","Website"
"F00171","Fuel Stations","Dealership","Dealer-Operated Outlets","How are most IndianOil fuel stations operated?","Most IndianOil fuel stations are run by independent dealers under dealership agreements with the company, rather than being directly company-operated.","dealer-operated, dealership agreements, fuel station model","Public Information"
"F00172","Customer Services","LPG Services","LPG Cylinder Booking","How can Indane LPG customers book a cylinder refill?","Indane LPG customers can book cylinder refills through the IndianOil/Indane mobile app, the Indane website, SMS, or by contacting their local distributor.","LPG booking, Indane app, cylinder refill, customer service","Website"
"F00173","Customer Services","Grievance Redressal","Customer Grievance Mechanism","Does IndianOil have a customer grievance redressal mechanism?","Yes, IndianOil maintains grievance redressal channels, including a designated Grievance Officer for data-privacy related concerns and customer care contacts for product and service complaints.","grievance redressal, customer complaints, Grievance Officer","Website"
"F00174","Mobile Applications","LPG App","Indane LPG Mobile App","What does the Indane mobile app allow customers to do?","The Indane mobile app allows LPG customers to book cylinder refills, track delivery status, make digital payments, and access subsidy-related information.","Indane app, mobile application, LPG booking, digital payments","Website"
"F00175","Mobile Applications","Fuel Locator","Fuel Station Locator App","Does IndianOil offer an app to locate nearby fuel stations?","IndianOil offers digital tools and apps that allow customers to locate nearby fuel stations, check fuel prices, and find available services such as EV charging.","fuel station locator, mobile app, fuel prices, EV charging finder","Website"
"F00176","Loyalty Programs","Retail Loyalty","XTRAREWARDS Loyalty Program","What is IndianOil's fuel station loyalty program called?","IndianOil operates a customer loyalty program (marketed under names such as XTRAREWARDS) that lets retail fuel customers earn and redeem points on fuel and related purchases at IndianOil outlets.","loyalty program, XTRAREWARDS, fuel rewards, retail customers","Website"
"F00177","Frequently Asked Questions","General FAQ","Quick Fact","What does IOCL stand for?","IOCL stands for Indian Oil Corporation Limited.","FAQ, IndianOil, quick fact","Website"
"F00178","Frequently Asked Questions","General FAQ","Quick Fact","Is IndianOil a private or government company?","IndianOil is a government-owned public sector undertaking, majority-owned by the Government of India.","FAQ, IndianOil, quick fact","Website"
"F00179","Frequently Asked Questions","General FAQ","Quick Fact","What is IndianOil's LPG brand called?","IndianOil's LPG brand is called Indane.","FAQ, IndianOil, quick fact","Website"
"F00180","Frequently Asked Questions","General FAQ","Quick Fact","What is IndianOil's lubricant brand called?","IndianOil's lubricant brand is called SERVO.","FAQ, IndianOil, quick fact","Website"
"F00181","Frequently Asked Questions","General FAQ","Quick Fact","Where is IndianOil headquartered?","IndianOil's corporate headquarters are in New Delhi, while its registered office is in Mumbai.","FAQ, IndianOil, quick fact","Website"
"F00182","Frequently Asked Questions","General FAQ","Quick Fact","Who is the current Chairman of IndianOil?","Arvinder Singh Sahney (A. S. Sahney) is the current Chairman of Indian Oil Corporation Limited.","FAQ, IndianOil, quick fact","Website"
"F00183","Frequently Asked Questions","General FAQ","Quick Fact","How many refineries does IndianOil operate?","IndianOil operates nine refineries directly, and eleven including subsidiary CPCL's refineries.","FAQ, IndianOil, quick fact","Website"
"F00184","Frequently Asked Questions","General FAQ","Quick Fact","When was IndianOil founded?","IndianOil traces its origins to 1959, with the current corporate entity formed by a 1964 merger.","FAQ, IndianOil, quick fact","Website"
"F00185","Industrial Training Topics","Refinery Orientation","Trainee Refinery Orientation","What topics are typically covered in refinery industrial training for engineering students?","Refinery industrial training for engineering students typically covers crude distillation, secondary processing units (FCC, hydrocracking, coking), utilities, safety systems, instrumentation, and plant layout, alongside hands-on exposure under supervision of refinery engineers.","Trainee Refinery Orientation, Industrial Training Topics, refinery engineering","Industry Publication"
"F00186","Engineering Operations","Plant Operations","Continuous Process Operation","Why do oil refineries operate as continuous processes?","Oil refineries operate as continuous processes because crude distillation and most downstream units run most efficiently and safely with steady feed and product flows, minimizing start-up/shutdown losses and thermal stress on equipment.","Continuous Process Operation, Engineering Operations, refinery engineering","Industry Publication"
"F00187","Mechanical Engineering Knowledge","Rotating Equipment","Role of Mechanical Engineers in Refineries","What role do mechanical engineers play in refinery operations?","Mechanical engineers in refineries are responsible for the design, maintenance, and reliability of rotating and static equipment such as pumps, compressors, turbines, heat exchangers, and pressure vessels.","Role of Mechanical Engineers in Refineries, Mechanical Engineering Knowledge, refinery engineering","Industry Publication"
"F00188","Chemical Engineering Knowledge","Process Fundamentals","Distillation in Refining","What is the role of distillation in petroleum refining?","Distillation is the primary separation process in petroleum refining, using differences in boiling points to separate crude oil into fractions such as LPG, naphtha, kerosene, diesel, and heavier residues in an Atmospheric Distillation Unit, often followed by a Vacuum Distillation Unit.","Distillation in Refining, Chemical Engineering Knowledge, refinery engineering","Industry Publication"
"F00189","Electrical Engineering Knowledge","Power Systems","Refinery Electrical Distribution","How is electrical power typically distributed within a refinery?","Refineries typically receive incoming high-voltage power which is stepped down through substations and distributed to process units, utilities, and lighting circuits, often backed by captive power generation and emergency diesel generators for critical loads.","Refinery Electrical Distribution, Electrical Engineering Knowledge, refinery engineering","Industry Publication"
"F00190","Instrumentation Systems","Field Instruments","Common Refinery Field Instruments","What field instruments are commonly used in refinery process units?","Common refinery field instruments include pressure transmitters, temperature sensors (thermocouples/RTDs), flow meters (orifice, vortex, Coriolis), level transmitters, and control valves, all feeding data to the plant's control system.","Common Refinery Field Instruments, Instrumentation Systems, refinery engineering","Industry Publication"
"F00191","Process Engineering","Heat Integration","Heat Integration in Refineries","Why is heat integration important in refinery process design?","Heat integration reduces fuel consumption and operating costs by recovering heat from hot process streams to preheat cooler streams, commonly implemented through networks of heat exchangers designed using pinch analysis principles.","Heat Integration in Refineries, Process Engineering, refinery engineering","Industry Publication"
"F00192","Refinery Operations","Unit Operations","Fluid Catalytic Cracking Overview","What does a Fluid Catalytic Cracking Unit do?","A Fluid Catalytic Cracking Unit (FCCU) converts heavy gas oil fractions into lighter, more valuable products such as gasoline and LPG by breaking large hydrocarbon molecules over a fluidized catalyst at high temperature.","Fluid Catalytic Cracking Overview, Refinery Operations, refinery engineering","Industry Publication"
"F00193","Process Safety Management","Risk Tools","Hazard and Operability Study (HAZOP)","What is a HAZOP study used for in refinery process safety?","A Hazard and Operability (HAZOP) study is a structured, systematic technique used to identify potential hazards and operability problems in a process design or operating procedure, often required before commissioning new refinery units.","Hazard and Operability Study (HAZOP), Process Safety Management, refinery engineering","Industry Publication"
"F00194","Standard Operating Procedures","Documentation","Purpose of SOPs","Why are Standard Operating Procedures important in refinery operations?","Standard Operating Procedures (SOPs) provide step-by-step instructions for routine and non-routine refinery tasks, ensuring consistency, safety, and regulatory compliance across shifts and personnel.","Purpose of SOPs, Standard Operating Procedures, refinery engineering","Industry Publication"
